Geography,Age group,Population
,70 to 74 years,"91,700"
,75 to 79 years,"66,958"
,80 to 84 years,"48,959"
,85 to 89 years,"32,091"
,90 years and over,"19,794"
"Victoria, British Columbia",All ages,"372,795"
,0 to 4 years,"15,657"
,5 to 9 years,"15,798"
,10 to 14 years,"15,449"
,15 to 19 years,"17,930"
,20 to 24 years,"23,906"
,25 to 29 years,"29,611"
,30 to 34 years,"26,539"
,35 to 39 years,"24,353"
,40 to 44 years,"22,384"
,45 to 49 years,"23,695"
,50 to 54 years,"26,352"
,55 to 59 years,"27,527"
,60 to 64 years,"26,562"
,65 to 69 years,"24,867"
,70 to 74 years,"17,780"
,75 to 79 years,"12,183"
,80 to 84 years,"9,710"
,85 to 89 years,"7,017"
,90 years and over,"5,475"
