Geography,Age group,2010
"Sherbrooke, Quebec",85 to 89 years,279.0
"Sherbrooke, Quebec",90 years and over,282.0
"Sherbrooke, Quebec",All ages,1547.0
"St. Catharines-Niagara, Ontario",0 to 4 years,13.0
"St. Catharines-Niagara, Ontario",10 to 14 years,0.0
"St. Catharines-Niagara, Ontario",15 to 19 years,13.0
"St. Catharines-Niagara, Ontario",20 to 24 years,12.0
"St. Catharines-Niagara, Ontario",25 to 29 years,11.0
"St. Catharines-Niagara, Ontario",30 to 34 years,16.0
"St. Catharines-Niagara, Ontario",35 to 39 years,37.0
"St. Catharines-Niagara, Ontario",40 to 44 years,35.0
"St. Catharines-Niagara, Ontario",45 to 49 years,66.0
"St. Catharines-Niagara, Ontario",5 to 9 years,3.0
"St. Catharines-Niagara, Ontario",50 to 54 years,136.0
"St. Catharines-Niagara, Ontario",55 to 59 years,176.0
"St. Catharines-Niagara, Ontario",60 to 64 years,232.0
"St. Catharines-Niagara, Ontario",65 to 69 years,291.0
"St. Catharines-Niagara, Ontario",70 to 74 years,339.0
"St. Catharines-Niagara, Ontario",75 to 79 years,461.0
"St. Catharines-Niagara, Ontario",80 to 84 years,654.0
"St. Catharines-Niagara, Ontario",85 to 89 years,725.0
"St. Catharines-Niagara, Ontario",90 years and over,590.0
"St. Catharines-Niagara, Ontario",All ages,3810.0
"St. John's, Newfoundland and Labrador",0 to 4 years,14.0
"St. John's, Newfoundland and Labrador",10 to 14 years,0.0
"St. John's, Newfoundland and Labrador",15 to 19 years,3.0
"St. John's, Newfoundland and Labrador",20 to 24 years,5.0
"St. John's, Newfoundland and Labrador",25 to 29 years,2.0
"St. John's, Newfoundland and Labrador",30 to 34 years,6.0
"St. John's, Newfoundland and Labrador",35 to 39 years,13.0
"St. John's, Newfoundland and Labrador",40 to 44 years,26.0
"St. John's, Newfoundland and Labrador",45 to 49 years,33.0
"St. John's, Newfoundland and Labrador",5 to 9 years,0.0
"St. John's, Newfoundland and Labrador",50 to 54 years,48.0
"St. John's, Newfoundland and Labrador",55 to 59 years,85.0
"St. John's, Newfoundland and Labrador",60 to 64 years,98.0
"St. John's, Newfoundland and Labrador",65 to 69 years,111.0
"St. John's, Newfoundland and Labrador",70 to 74 years,149.0
"St. John's, Newfoundland and Labrador",75 to 79 years,173.0
"St. John's, Newfoundland and Labrador",80 to 84 years,225.0
"St. John's, Newfoundland and Labrador",85 to 89 years,244.0
"St. John's, Newfoundland and Labrador",90 years and over,204.0
"St. John's, Newfoundland and Labrador",All ages,1439.0
"Thunder Bay, Ontario",0 to 4 years,8.0
"Thunder Bay, Ontario",10 to 14 years,1.0
"Thunder Bay, Ontario",15 to 19 years,4.0
"Thunder Bay, Ontario",20 to 24 years,3.0
"Thunder Bay, Ontario",25 to 29 years,4.0
"Thunder Bay, Ontario",30 to 34 years,15.0
"Thunder Bay, Ontario",35 to 39 years,7.0
"Thunder Bay, Ontario",40 to 44 years,17.0
"Thunder Bay, Ontario",45 to 49 years,35.0
"Thunder Bay, Ontario",5 to 9 years,2.0
"Thunder Bay, Ontario",50 to 54 years,60.0
"Thunder Bay, Ontario",55 to 59 years,49.0
"Thunder Bay, Ontario",60 to 64 years,91.0
"Thunder Bay, Ontario",65 to 69 years,83.0
"Thunder Bay, Ontario",70 to 74 years,138.0
"Thunder Bay, Ontario",75 to 79 years,161.0
"Thunder Bay, Ontario",80 to 84 years,195.0
"Thunder Bay, Ontario",85 to 89 years,211.0
"Thunder Bay, Ontario",90 years and over,184.0
"Thunder Bay, Ontario",All ages,1268.0
"Toronto, Ontario",0 to 4 years,355.0
"Toronto, Ontario",10 to 14 years,32.0
"Toronto, Ontario",15 to 19 years,91.0
"Toronto, Ontario",20 to 24 years,128.0
